Entrez Id,Gene,Dataset,Dependent Cell Lines,Cell Lines with Data,Strongly Selective,Common Essential
7920,ABHD16A,DependencyEnum.RNAi_merged,0.0,547.0,False,False
140701,ABHD16B,DependencyEnum.RNAi_merged,0.0,547.0,False,False
81926,ABHD17A,DependencyEnum.RNAi_merged,0.0,547.0,False,False
51104,ABHD17B,DependencyEnum.RNAi_merged,1.0,547.0,True,False
11057,ABHD2,DependencyEnum.RNAi_merged,1.0,547.0,False,False
171586,ABHD3,DependencyEnum.RNAi_merged,0.0,547.0,False,False
63874,ABHD4,DependencyEnum.RNAi_merged,0.0,547.0,False,False
51099,ABHD5,DependencyEnum.RNAi_merged,0.0,547.0,False,False
57406,ABHD6,DependencyEnum.RNAi_merged,0.0,343.0,False,False
79575,ABHD8,DependencyEnum.RNAi_merged,0.0,547.0,False,False
10006,ABI1,DependencyEnum.RNAi_merged,7.0,597.0,True,False
10152,ABI2,DependencyEnum.RNAi_merged,1.0,343.0,True,False
51225,ABI3,DependencyEnum.RNAi_merged,3.0,343.0,False,False
25,ABL1,DependencyEnum.RNAi_merged,3.0,711.0,True,False
27,ABL2,DependencyEnum.RNAi_merged,1.0,708.0,False,False
3983,ABLIM1,DependencyEnum.RNAi_merged,0.0,547.0,False,False
84448,ABLIM2,DependencyEnum.RNAi_merged,0.0,343.0,False,False
22885,ABLIM3,DependencyEnum.RNAi_merged,7.0,547.0,False,False
28,ABO,DependencyEnum.RNAi_merged,0.0,547.0,False,False
29,ABR,DependencyEnum.RNAi_merged,1.0,710.0,False,False
137735,ABRA,DependencyEnum.RNAi_merged,0.0,501.0,False,False
84142,ABRAXAS1,DependencyEnum.RNAi_merged,0.0,597.0,False,False
23172,ABRAXAS2,DependencyEnum.RNAi_merged,0.0,343.0,False,False
29777,ABT1,DependencyEnum.RNAi_merged,2.0,547.0,False,False
80325,ABTB1,DependencyEnum.RNAi_merged,1.0,597.0,True,False
25841,ABTB2,DependencyEnum.RNAi_merged,0.0,597.0,False,False
30,ACAA1,DependencyEnum.RNAi_merged,0.0,669.0,False,False
10449,ACAA2,DependencyEnum.RNAi_merged,0.0,547.0,False,False
31,ACACA,DependencyEnum.RNAi_merged,15.0,711.0,True,False
32,ACACB,DependencyEnum.RNAi_merged,5.0,711.0,True,False
80724,ACAD10,DependencyEnum.RNAi_merged,4.0,708.0,False,False
84129,ACAD11,DependencyEnum.RNAi_merged,3.0,708.0,False,False
