PositionID,bChecked,strName,dXPosition,dYPosition,dZPosition,dPFSOffset,row,column,well,field,x,y,well_row_odd,well_row_id,well_column_odd,well_row_order,well_column_order
Point00055,true,B11#5,5300,13300,5212,11765,B,11,B11,5,5300,13300,2,2,2,-2,-11
Point00056,true,B10#1,12500,11500,5212,11765,B,10,B10,1,12500,11500,2,2,1,2,-10
Point00057,true,B10#2,12500,13300,5212,11765,B,10,B10,2,12500,13300,2,2,1,2,-10
Point00058,true,B10#3,12500,15100,5212,11765,B,10,B10,3,12500,15100,2,2,1,2,-10
Point00059,true,B10#4,14300,15100,5212,11765,B,10,B10,4,14300,15100,2,2,1,2,-10
Point00060,true,B10#5,14300,13300,5212,11765,B,10,B10,5,14300,13300,2,2,1,2,-10
Point00061,true,B9#1,21500,11500,5212,11765,B,9,B9,1,21500,11500,2,2,2,-2,-9
Point00062,true,B9#2,21500,13300,5212,11765,B,9,B9,2,21500,13300,2,2,2,-2,-9
Point00063,true,B9#3,21500,15100,5212,11765,B,9,B9,3,21500,15100,2,2,2,-2,-9
Point00064,true,B9#4,23300,15100,5212,11765,B,9,B9,4,23300,15100,2,2,2,-2,-9
Point00065,true,B9#5,23300,13300,5212,11765,B,9,B9,5,23300,13300,2,2,2,-2,-9
Point00066,true,B8#1,30500,11500,5212,11765,B,8,B8,1,30500,11500,2,2,1,2,-8
Point00067,true,B8#2,30500,13300,5212,11765,B,8,B8,2,30500,13300,2,2,1,2,-8
Point00068,true,B8#3,30500,15100,5212,11765,B,8,B8,3,30500,15100,2,2,1,2,-8
Point00069,true,B8#4,32300,15100,5212,11765,B,8,B8,4,32300,15100,2,2,1,2,-8
Point00070,true,B8#5,32300,13300,5212,11765,B,8,B8,5,32300,13300,2,2,1,2,-8
Point00071,true,B7#1,39500,11500,5212,11765,B,7,B7,1,39500,11500,2,2,2,-2,-7
Point00072,true,B7#2,39500,13300,5212,11765,B,7,B7,2,39500,13300,2,2,2,-2,-7
Point00073,true,B7#3,39500,15100,5212,11765,B,7,B7,3,39500,15100,2,2,2,-2,-7
Point00074,true,B7#4,41300,15100,5212,11765,B,7,B7,4,41300,15100,2,2,2,-2,-7
Point00075,true,B7#5,41300,13300,5212,11765,B,7,B7,5,41300,13300,2,2,2,-2,-7
Point00076,true,B6#1,48500,11500,5212,11765,B,6,B6,1,48500,11500,2,2,1,2,-6
Point00077,true,B6#2,48500,13300,5212,11765,B,6,B6,2,48500,13300,2,2,1,2,-6
Point00078,true,B6#3,48500,15100,5212,11765,B,6,B6,3,48500,15100,2,2,1,2,-6
Point00079,true,B6#4,50300,15100,5212,11765,B,6,B6,4,50300,15100,2,2,1,2,-6
Point00080,true,B6#5,50300,13300,5212,11765,B,6,B6,5,50300,13300,2,2,1,2,-6
Point00081,true,B5#1,57500,11500,5212,11765,B,5,B5,1,57500,11500,2,2,2,-2,-5
Point00082,true,B5#2,57500,13300,5212,11765,B,5,B5,2,57500,13300,2,2,2,-2,-5
Point00083,true,B5#3,57500,15100,5212,11765,B,5,B5,3,57500,15100,2,2,2,-2,-5
Point00084,true,B5#4,59300,15100,5212,11765,B,5,B5,4,59300,15100,2,2,2,-2,-5
Point00085,true,B5#5,59300,13300,5212,11765,B,5,B5,5,59300,13300,2,2,2,-2,-5
Point00086,true,B4#1,66500,11500,5212,11765,B,4,B4,1,66500,11500,2,2,1,2,-4
Point00087,true,B4#2,66500,13300,5212,11765,B,4,B4,2,66500,13300,2,2,1,2,-4
Point00088,true,B4#3,66500,15100,5212,11765,B,4,B4,3,66500,15100,2,2,1,2,-4
Point00089,true,B4#4,68300,15100,5212,11765,B,4,B4,4,68300,15100,2,2,1,2,-4
Point00090,true,B4#5,68300,13300,5212,11765,B,4,B4,5,68300,13300,2,2,1,2,-4
Point00091,true,B3#1,75500,11500,5212,11765,B,3,B3,1,75500,11500,2,2,2,-2,-3
Point00092,true,B3#2,75500,13300,5212,11765,B,3,B3,2,75500,13300,2,2,2,-2,-3
Point00093,true,B3#3,75500,15100,5212,11765,B,3,B3,3,75500,15100,2,2,2,-2,-3
Point00094,true,B3#4,77300,15100,5212,11765,B,3,B3,4,77300,15100,2,2,2,-2,-3
Point00095,true,B3#5,77300,13300,5212,11765,B,3,B3,5,77300,13300,2,2,2,-2,-3
Point00096,true,B2#1,84500,11500,5212,11765,B,2,B2,1,84500,11500,2,2,1,2,-2
Point00097,true,B2#2,84500,13300,5212,11765,B,2,B2,2,84500,13300,2,2,1,2,-2
Point00098,true,B2#3,84500,15100,5212,11765,B,2,B2,3,84500,15100,2,2,1,2,-2
Point00099,true,B2#4,86300,15100,5212,11765,B,2,B2,4,86300,15100,2,2,1,2,-2
Point00100,true,B2#5,86300,13300,5212,11765,B,2,B2,5,86300,13300,2,2,1,2,-2
Point00101,true,C2#1,84500,20500,5212,11765,C,2,C2,1,84500,20500,1,3,1,3,2
Point00102,true,C2#2,84500,22300,5212,11765,C,2,C2,2,84500,22300,1,3,1,3,2
Point00103,true,C2#3,84500,24100,5212,11765,C,2,C2,3,84500,24100,1,3,1,3,2
Point00104,true,C2#4,86300,24100,5212,11765,C,2,C2,4,86300,24100,1,3,1,3,2
Point00105,true,C2#5,86300,22300,5212,11765,C,2,C2,5,86300,22300,1,3,1,3,2
Point00106,true,C3#1,75500,20500,5212,11765,C,3,C3,1,75500,20500,1,3,2,-3,3
Point00107,true,C3#2,75500,22300,5212,11765,C,3,C3,2,75500,22300,1,3,2,-3,3
Point00108,true,C3#3,75500,24100,5212,11765,C,3,C3,3,75500,24100,1,3,2,-3,3
Point00109,true,C3#4,77300,24100,5212,11765,C,3,C3,4,77300,24100,1,3,2,-3,3
Point00110,true,C3#5,77300,22300,5212,11765,C,3,C3,5,77300,22300,1,3,2,-3,3
Point00111,true,C4#1,66500,20500,5212,11765,C,4,C4,1,66500,20500,1,3,1,3,4
Point00112,true,C4#2,66500,22300,5212,11765,C,4,C4,2,66500,22300,1,3,1,3,4
Point00113,true,C4#3,66500,24100,5212,11765,C,4,C4,3,66500,24100,1,3,1,3,4
Point00114,true,C4#4,68300,24100,5212,11765,C,4,C4,4,68300,24100,1,3,1,3,4
Point00115,true,C4#5,68300,22300,5212,11765,C,4,C4,5,68300,22300,1,3,1,3,4
Point00116,true,C5#1,57500,20500,5212,11765,C,5,C5,1,57500,20500,1,3,2,-3,5
Point00117,true,C5#2,57500,22300,5212,11765,C,5,C5,2,57500,22300,1,3,2,-3,5
Point00118,true,C5#3,57500,24100,5212,11765,C,5,C5,3,57500,24100,1,3,2,-3,5
Point00119,true,C5#4,59300,24100,5212,11765,C,5,C5,4,59300,24100,1,3,2,-3,5
Point00120,true,C5#5,59300,22300,5212,11765,C,5,C5,5,59300,22300,1,3,2,-3,5
Point00121,true,C6#1,48500,20500,5212,11765,C,6,C6,1,48500,20500,1,3,1,3,6
Point00122,true,C6#2,48500,22300,5212,11765,C,6,C6,2,48500,22300,1,3,1,3,6
Point00123,true,C6#3,48500,24100,5212,11765,C,6,C6,3,48500,24100,1,3,1,3,6
Point00124,true,C6#4,50300,24100,5212,11765,C,6,C6,4,50300,24100,1,3,1,3,6
Point00125,true,C6#5,50300,22300,5212,11765,C,6,C6,5,50300,22300,1,3,1,3,6
Point00126,true,C7#1,39500,20500,5212,11765,C,7,C7,1,39500,20500,1,3,2,-3,7
Point00127,true,C7#2,39500,22300,5212,11765,C,7,C7,2,39500,22300,1,3,2,-3,7
Point00128,true,C7#3,39500,24100,5212,11765,C,7,C7,3,39500,24100,1,3,2,-3,7
Point00129,true,C7#4,41300,24100,5212,11765,C,7,C7,4,41300,24100,1,3,2,-3,7
Point00130,true,C7#5,41300,22300,5212,11765,C,7,C7,5,41300,22300,1,3,2,-3,7
Point00131,true,C8#1,30500,20500,5212,11765,C,8,C8,1,30500,20500,1,3,1,3,8
Point00132,true,C8#2,30500,22300,5212,11765,C,8,C8,2,30500,22300,1,3,1,3,8
Point00133,true,C8#3,30500,24100,5212,11765,C,8,C8,3,30500,24100,1,3,1,3,8
Point00134,true,C8#4,32300,24100,5212,11765,C,8,C8,4,32300,24100,1,3,1,3,8
Point00135,true,C8#5,32300,22300,5212,11765,C,8,C8,5,32300,22300,1,3,1,3,8
Point00136,true,C9#1,21500,20500,5212,11765,C,9,C9,1,21500,20500,1,3,2,-3,9
Point00137,true,C9#2,21500,22300,5212,11765,C,9,C9,2,21500,22300,1,3,2,-3,9
Point00138,true,C9#3,21500,24100,5212,11765,C,9,C9,3,21500,24100,1,3,2,-3,9
Point00139,true,C9#4,23300,24100,5212,11765,C,9,C9,4,23300,24100,1,3,2,-3,9
Point00140,true,C9#5,23300,22300,5212,11765,C,9,C9,5,23300,22300,1,3,2,-3,9
Point00141,true,C10#1,12500,20500,5212,11765,C,10,C10,1,12500,20500,1,3,1,3,10
Point00142,true,C10#2,12500,22300,5212,11765,C,10,C10,2,12500,22300,1,3,1,3,10
Point00143,true,C10#3,12500,24100,5212,11765,C,10,C10,3,12500,24100,1,3,1,3,10
Point00144,true,C10#4,14300,24100,5212,11765,C,10,C10,4,14300,24100,1,3,1,3,10
Point00145,true,C10#5,14300,22300,5212,11765,C,10,C10,5,14300,22300,1,3,1,3,10
Point00146,true,C11#1,3500,20500,5212,11765,C,11,C11,1,3500,20500,1,3,2,-3,11
Point00147,true,C11#2,3500,22300,5212,11765,C,11,C11,2,3500,22300,1,3,2,-3,11
Point00148,true,C11#3,3500,24100,5212,11765,C,11,C11,3,3500,24100,1,3,2,-3,11
Point00149,true,C11#4,5300,24100,5212,11765,C,11,C11,4,5300,24100,1,3,2,-3,11
Point00150,true,C11#5,5300,22300,5212,11765,C,11,C11,5,5300,22300,1,3,2,-3,11
Point00151,true,D11#1,3500,29500,5212,11765,D,11,D11,1,3500,29500,2,4,2,-4,-11
Point00152,true,D11#2,3500,31300,5212,11765,D,11,D11,2,3500,31300,2,4,2,-4,-11
Point00153,true,D11#3,3500,33100,5212,11765,D,11,D11,3,3500,33100,2,4,2,-4,-11
Point00154,true,D11#4,5300,33100,5212,11765,D,11,D11,4,5300,33100,2,4,2,-4,-11
Point00155,true,D11#5,5300,31300,5212,11765,D,11,D11,5,5300,31300,2,4,2,-4,-11
Point00156,true,D10#1,12500,29500,5212,11765,D,10,D10,1,12500,29500,2,4,1,4,-10
Point00157,true,D10#2,12500,31300,5212,11765,D,10,D10,2,12500,31300,2,4,1,4,-10
Point00158,true,D10#3,12500,33100,5212,11765,D,10,D10,3,12500,33100,2,4,1,4,-10
Point00159,true,D10#4,14300,33100,5212,11765,D,10,D10,4,14300,33100,2,4,1,4,-10
Point00160,true,D10#5,14300,31300,5212,11765,D,10,D10,5,14300,31300,2,4,1,4,-10
Point00161,true,D9#1,21500,29500,5212,11765,D,9,D9,1,21500,29500,2,4,2,-4,-9
Point00162,true,D9#2,21500,31300,5212,11765,D,9,D9,2,21500,31300,2,4,2,-4,-9
Point00163,true,D9#3,21500,33100,5212,11765,D,9,D9,3,21500,33100,2,4,2,-4,-9
Point00164,true,D9#4,23300,33100,5212,11765,D,9,D9,4,23300,33100,2,4,2,-4,-9
Point00165,true,D9#5,23300,31300,5212,11765,D,9,D9,5,23300,31300,2,4,2,-4,-9
Point00166,true,D8#1,30500,29500,5212,11765,D,8,D8,1,30500,29500,2,4,1,4,-8
Point00167,true,D8#2,30500,31300,5212,11765,D,8,D8,2,30500,31300,2,4,1,4,-8
Point00168,true,D8#3,30500,33100,5212,11765,D,8,D8,3,30500,33100,2,4,1,4,-8
Point00169,true,D8#4,32300,33100,5212,11765,D,8,D8,4,32300,33100,2,4,1,4,-8
Point00170,true,D8#5,32300,31300,5212,11765,D,8,D8,5,32300,31300,2,4,1,4,-8
Point00171,true,D7#1,39500,29500,5212,11765,D,7,D7,1,39500,29500,2,4,2,-4,-7
Point00172,true,D7#2,39500,31300,5212,11765,D,7,D7,2,39500,31300,2,4,2,-4,-7
Point00173,true,D7#3,39500,33100,5212,11765,D,7,D7,3,39500,33100,2,4,2,-4,-7
Point00174,true,D7#4,41300,33100,5212,11765,D,7,D7,4,41300,33100,2,4,2,-4,-7
Point00175,true,D7#5,41300,31300,5212,11765,D,7,D7,5,41300,31300,2,4,2,-4,-7
Point00176,true,D6#1,48500,29500,5212,11765,D,6,D6,1,48500,29500,2,4,1,4,-6
Point00177,true,D6#2,48500,31300,5212,11765,D,6,D6,2,48500,31300,2,4,1,4,-6
Point00178,true,D6#3,48500,33100,5212,11765,D,6,D6,3,48500,33100,2,4,1,4,-6
Point00179,true,D6#4,50300,33100,5212,11765,D,6,D6,4,50300,33100,2,4,1,4,-6
Point00180,true,D6#5,50300,31300,5212,11765,D,6,D6,5,50300,31300,2,4,1,4,-6
Point00181,true,D5#1,57500,29500,5212,11765,D,5,D5,1,57500,29500,2,4,2,-4,-5
Point00182,true,D5#2,57500,31300,5212,11765,D,5,D5,2,57500,31300,2,4,2,-4,-5
